City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
139,Arraial Do Cabo,BR,74.39,overcast clouds,-22.9661,-42.0278,Pousada Vida Boa Praia
140,Hirara,JP,66.47,scattered clouds,24.8,125.2833,古謝そば屋
142,Malanje,AO,61.68,overcast clouds,-9.5402,16.341,Hotel Palanca
146,Meulaboh,ID,76.93,overcast clouds,4.1363,96.1285,Hotel Meuligou
148,Gustavo Diaz Ordaz,MX,78.69,broken clouds,26.2333,-98.5833,
151,Saint-Pierre,RE,82.56,light rain,-21.3393,55.4781,Le Terre Sainte
153,Namibe,AO,73.62,overcast clouds,-15.1961,12.1522,IKA Hotel Namibe
154,Soc Trang,VN,77.13,overcast clouds,9.6033,105.98,Lan Anh
156,Lampazos De Naranjo,MX,64.56,clear sky,27.0167,-100.5167,Hotel Lampazos
160,Gushikawa,JP,64.4,clear sky,26.3544,127.8686,
162,Port Lincoln,AU,63.72,overcast clouds,-34.7333,135.8667,Grand Tasman
164,Namatanai,PG,82.98,light rain,-3.6667,152.4333,Namatanai Hotel
165,Kaeo,NZ,71.38,broken clouds,-35.1,173.7833,
166,Kefamenanu,ID,82.31,overcast clouds,-9.4467,124.4781,Hotel Victory
167,High Rock,BS,64.42,few clouds,26.6208,-78.2833,
168,Adre,TD,63.57,broken clouds,13.4667,22.2,
169,Valparaiso,CL,63.48,clear sky,-33.0393,-71.6273,Hostal Kairos
170,Kavaratti,IN,80.44,broken clouds,10.5669,72.642,
172,Xuddur,SO,67.12,overcast clouds,4.1213,43.8894,
175,Taoudenni,ML,64.65,overcast clouds,22.6783,-3.9836,
176,Charleston,US,62.29,mist,32.7766,-79.9309,The Ryder Hotel
178,Chiredzi,ZW,70.09,overcast clouds,-21.05,31.6667,King Fisher lodge
180,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Super 8
181,Tessalit,ML,64.2,overcast clouds,20.1986,1.0114,
182,Chuy,UY,72.37,overcast clouds,-33.6971,-53.4616,Bertelli Chuí Hotel
183,Sorong,ID,82.18,overcast clouds,-0.8833,131.25,Swiss-Belhotel
186,Lekoni,GA,75.45,overcast clouds,-1.5843,14.2591,Le rdv des chasseurs
188,Caicedo,CO,60.04,overcast clouds,6.4051,-75.9826,
191,Ahipara,NZ,71.89,clear sky,-35.1667,173.1667,YHA Ahipara
193,Cienaga,CO,82.98,broken clouds,11.007,-74.2476,Diamante Real
194,Avarua,CK,77.05,light rain,-21.2078,-159.775,Natura Nikao Beach Bungalow
196,Port Moresby,PG,84.04,overcast clouds,-9.4431,147.1797,Hilton Port Moresby
198,Whitianga,NZ,69.64,broken clouds,-36.8333,175.7,
199,Lima,PE,73.9,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar
200,Chichigalpa,NI,71.6,clear sky,12.5776,-87.027,La Vista - Hotel & Restaurante
202,Umm Kaddadah,SD,60.55,scattered clouds,13.6017,26.6876,
205,Belmonte,BR,75.38,scattered clouds,-15.8631,-38.8828,
206,Mildura,AU,70.07,clear sky,-34.2,142.15,Mildura Grand
207,Flinders,AU,65.37,overcast clouds,-34.5833,150.8552,
208,Nago,JP,65.25,clear sky,26.5881,127.9761,ホテルリゾネックス名護
209,Vallenar,CL,69.35,clear sky,-28.5708,-70.7581,Hostal Real Quillahue
214,Cairns,AU,84.15,overcast clouds,-16.9167,145.7667,Cairns Central Plaza Apartment Hotel
216,Ca Mau,VN,74.73,overcast clouds,9.1769,105.15,Khách sạn Mường Thanh Luxury Cà Mau
217,Bambous Virieux,MU,78.22,light intensity shower rain,-20.3428,57.7575,
223,Harper,LR,78.42,broken clouds,4.375,-7.7169,
227,San Cristobal,VE,68.18,few clouds,7.7669,-72.225,Nevada Suites
228,Victoria,HK,62.94,clear sky,22.2855,114.1577,唯港薈 Hotel ICON
229,Keningau,MY,80.44,overcast clouds,5.3378,116.1602,Perkasa Hotel Keningau
230,Panguna,PG,81.99,light rain,-6.3164,155.4848,
234,Saint-Joseph,RE,81.46,light rain,-21.3667,55.6167,
236,Yulara,AU,84.51,broken clouds,-25.2406,130.9889,Voyages Sails in the Desert
237,Cockburn Town,TC,76.48,clear sky,21.4612,-71.1419,The Salt Raker Inn
239,Dire,ML,72.73,clear sky,12.2833,-10.9667,
240,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,
242,San Luis,AR,75.18,overcast clouds,-33.295,-66.3356,Hotel Dos Venados
244,Adrar,MR,61.18,overcast clouds,20.5022,-10.0711,
246,Inhambane,MZ,77.32,scattered clouds,-23.865,35.3833,Casa Jensen
257,Bubaque,GW,77.56,clear sky,11.2833,-15.8333,Casa Dora
259,Kaitangata,NZ,67.96,few clouds,-46.2817,169.8464,
263,Castro,BR,62.58,overcast clouds,-24.7911,-50.0119,Buganville Express
265,Lichtenburg,ZA,64.67,scattered clouds,-26.152,26.1597,Scott's Manor
269,Youkounkoun,GN,74.21,clear sky,12.5333,-13.1333,
270,Mizan Teferi,ET,62.85,broken clouds,6.9833,35.5833,ሆቴል ሳላይሽ / Salayesh Hotel
271,Brokopondo,SR,73.44,overcast clouds,4.75,-55.1667,
